,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
Iteration 115,5,5,5,5,5,5,5,5,-5,-5,-5,5,5,5,5,-5,-5,5,5,-5,5,-5,5,5,5,-5,-5,-5,5,5,5,5,5,5,5,5
Iteration 116,5,5,5,5,5,5,5,5,5,-5,5,5,5,5,-5,-5,5,5,5,5,5,-5,5,5,5,5,-5,-5,5,5,5,5,5,5,5,5
Iteration 117,5,5,5,5,5,5,5,5,-5,-5,-5,5,5,5,-5,-5,-5,5,5,-5,5,-5,-5,5,5,-5,-5,-5,5,5,5,5,5,5,5,5
Iteration 118,5,5,5,5,5,5,5,5,-5,-5,5,5,5,-5,-5,-5,5,5,5,-5,-5,-5,5,5,5,5,5,-5,5,5,5,5,5,5,5,5
Iteration 119,5,5,5,5,5,5,5,-5,-5,5,5,5,5,5,-5,5,5,5,5,5,-5,-5,5,5,5,5,5,5,-5,5,5,5,5,5,-5,5
Iteration 120,5,5,5,5,5,5,5,-5,-5,-5,5,5,5,-5,-5,-5,5,5,5,5,-5,-5,-5,5,5,5,-5,-5,-5,5,5,5,5,5,5,5
Iteration 121,5,5,5,5,5,5,5,5,-5,-5,-5,5,5,5,5,-5,-5,5,5,-5,5,-5,-5,5,5,-5,-5,-5,5,5,5,5,5,5,5,5
Iteration 122,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-5,-5,5,5,5,5,5,5,-5,5,5,-5,-5,-5,5,5,5,5,5,5,5,5
Iteration 123,5,5,5,5,5,5,5,5,-5,-5,-5,5,5,5,-5,-5,-5,5,5,5,-5,-5,5,5,5,-5,-5,-5,5,5,5,5,5,5,5,5
Iteration 124,5,5,5,5,5,5,5,5,-5,-5,-5,5,5,5,5,-5,-5,5,5,5,5,-5,5,5,5,-5,-5,-5,5,5,5,5,5,5,5,5
Iteration 125,5,5,5,5,5,5,5,5,-5,-5,5,5,5,-5,5,-5,5,5,5,5,5,-5,5,5,5,5,5,-5,5,5,5,5,5,5,5,5
Iteration 126,5,5,5,5,5,5,5,-5,-5,-5,5,5,5,5,-5,-5,5,5,5,5,-5,-5,5,5,5,5,5,5,-5,5,5,5,5,5,5,5
Iteration 127,5,5,5,5,5,5,5,5,5,-5,5,5,5,5,5,-5,5,5,5,5,5,-5,5,5,5,-5,-5,5,5,5,5,5,5,5,5,5
Iteration 128,5,5,5,5,5,5,5,5,-5,-5,5,5,5,5,5,-5,5,5,5,5,-5,-5,5,5,5,5,5,-5,5,5,5,5,5,5,5,5
Iteration 129,5,5,5,5,5,5,5,5,-5,-5,-5,5,5,5,5,-5,-5,5,5,-5,5,-5,5,5,5,-5,-5,-5,5,5,5,5,5,5,5,5
Iteration 130,5,5,5,5,5,5,5,5,-5,-5,5,5,5,5,5,-5,5,5,5,5,5,-5,5,5,5,-5,-5,-5,5,5,5,5,5,5,5,5
Iteration 131,5,5,5,5,5,5,5,5,-5,-5,5,5,5,5,-5,5,5,5,5,5,5,-5,5,5,5,5,5,-5,5,5,5,5,5,5,5,5
